"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 30 20:14:13 GMT 2023","Wed Aug 30 20:14:16 GMT 2023","2748","","","","Sunrise.Tests.UnitTest1","Sunrise.Tests.UnitTest1.DbTestConnection","Sunrise.Tests.UnitTest1.DbTestConnection",""
"passed","Wed Aug 30 20:14:16 GMT 2023","Wed Aug 30 20:14:16 GMT 2023","0","","","","Sunrise.Tests.CheckTypeTests","Test to check example gif file","Test to check example gif file",""
"passed","Wed Aug 30 20:14:13 GMT 2023","Wed Aug 30 20:14:16 GMT 2023","3509","","","","Sunrise.Tests.StatisticTests","Sunrise.Tests.StatisticTests.CheckController","Sunrise.Tests.StatisticTests.CheckController",""
"passed","Wed Aug 30 20:14:16 GMT 2023","Wed Aug 30 20:14:16 GMT 2023","2","","","","Sunrise.Tests.CheckTypeTests","Test to check example webp file","Test to check example webp file",""
"passed","Wed Aug 30 20:14:16 GMT 2023","Wed Aug 30 20:14:16 GMT 2023","0","","","","Sunrise.Tests.CheckTypeTests","Test to check example png file","Test to check example png file",""
"passed","Wed Aug 30 20:14:13 GMT 2023","Wed Aug 30 20:14:13 GMT 2023","1","","","","Sunrise.Tests.GetSha1Tests","Sunrise.Tests.GetSha1Tests.Sha1HashBytes_0x88996584ff","Sunrise.Tests.GetSha1Tests.Sha1HashBytes_0x88996584ff",""
"passed","Wed Aug 30 20:14:13 GMT 2023","Wed Aug 30 20:14:13 GMT 2023","0","","","","Sunrise.Tests.GetSha1Tests","Sunrise.Tests.GetSha1Tests.Sha1HashBytes_0x12","Sunrise.Tests.GetSha1Tests.Sha1HashBytes_0x12",""
"passed","Wed Aug 30 20:14:13 GMT 2023","Wed Aug 30 20:14:13 GMT 2023","0","","","","Sunrise.Tests.TagProcess","Sunrise.Tests.TagProcess.TagsProcessTest1girl","Sunrise.Tests.TagProcess.TagsProcessTest1girl",""
"passed","Wed Aug 30 20:14:16 GMT 2023","Wed Aug 30 20:14:17 GMT 2023","949","","","","Sunrise.Tests.FileConvert","Test to convert image","Test to convert image",""
"passed","Wed Aug 30 20:14:13 GMT 2023","Wed Aug 30 20:14:13 GMT 2023","0","","","","Sunrise.Tests.GetSha512Tests","Sunrise.Tests.GetSha512Tests.Sha512HashString_12345678","Sunrise.Tests.GetSha512Tests.Sha512HashString_12345678",""
"passed","Wed Aug 30 20:14:16 GMT 2023","Wed Aug 30 20:14:16 GMT 2023","0","","","","Sunrise.Tests.CheckTypeTests","Test to check example avi file","Test to check example avi file",""
"passed","Wed Aug 30 20:14:17 GMT 2023","Wed Aug 30 20:14:20 GMT 2023","3228","","","","Sunrise.Tests.FileConvert","Test to convert video","Test to convert video",""
"passed","Wed Aug 30 20:14:13 GMT 2023","Wed Aug 30 20:14:13 GMT 2023","0","","","","Sunrise.Tests.TagProcess","Sunrise.Tests.TagProcess.TagsProcessTest1girlTrim","Sunrise.Tests.TagProcess.TagsProcessTest1girlTrim",""
"passed","Wed Aug 30 20:14:13 GMT 2023","Wed Aug 30 20:14:13 GMT 2023","21","","","","Sunrise.Tests.TagProcess","Sunrise.Tests.TagProcess.TagsProcessTest1girlRemoveSymbols","Sunrise.Tests.TagProcess.TagsProcessTest1girlRemoveSymbols",""
"passed","Wed Aug 30 20:14:13 GMT 2023","Wed Aug 30 20:14:13 GMT 2023","0","","","","Sunrise.Tests.GetSha512Tests","Sunrise.Tests.GetSha512Tests.Sha512HashString_1girl","Sunrise.Tests.GetSha512Tests.Sha512HashString_1girl",""
"passed","Wed Aug 30 20:14:16 GMT 2023","Wed Aug 30 20:14:16 GMT 2023","0","","","","Sunrise.Tests.CheckTypeTests","Test to check example jpg file","Test to check example jpg file",""
"passed","Wed Aug 30 20:14:16 GMT 2023","Wed Aug 30 20:14:16 GMT 2023","0","","","","Sunrise.Tests.CheckTypeTests","Test to check example mp4 file","Test to check example mp4 file",""
